,count,tract,date
737,342,48201553001,2021-01-16
738,252,48201553002,2021-01-16
739,419,48201553100,2021-01-16
740,404,48201553200,2021-01-16
741,207,48201553300,2021-01-16
742,309,48201553401,2021-01-16
743,692,48201553402,2021-01-16
744,827,48201553403,2021-01-16
745,590,48201553500,2021-01-16
746,526,48201553600,2021-01-16
747,332,48201553700,2021-01-16
748,261,48201553801,2021-01-16
749,991,48201553802,2021-01-16
750,622,48201553900,2021-01-16
751,171,48201554001,2021-01-16
752,372,48201554002,2021-01-16
753,108,48201554101,2021-01-16
754,711,48201554102,2021-01-16
755,540,48201554200,2021-01-16
756,524,48201554301,2021-01-16
757,400,48201554302,2021-01-16
758,1448,48201554401,2021-01-16
759,1365,48201554402,2021-01-16
760,1341,48201554403,2021-01-16
761,674,48201554501,2021-01-16
762,638,48201554502,2021-01-16
763,389,48201554600,2021-01-16
764,695,48201554700,2021-01-16
765,1670,48201554801,2021-01-16
766,2264,48201554802,2021-01-16
767,1106,48201554901,2021-01-16
768,622,48201554902,2021-01-16
769,1314,48201554903,2021-01-16
770,574,48201555000,2021-01-16
771,995,48201555100,2021-01-16
772,706,48201555200,2021-01-16
773,335,48201555301,2021-01-16
774,993,48201555302,2021-01-16
775,840,48201555303,2021-01-16
776,309,48201555401,2021-01-16
777,649,48201555402,2021-01-16
778,572,48201555501,2021-01-16
779,3249,48201555502,2021-01-16
780,711,48201555600,2021-01-16
781,1061,48201555701,2021-01-16
782,1613,48201555702,2021-01-16
783,871,48201556000,2021-01-16
784,12,48201980000,2021-01-16
785,46,48201980100,2021-01-16
786,203,48201100000,2021-01-17
787,15,48201210100,2021-01-17
788,1039,48201210400,2021-01-17
789,208,48201210500,2021-01-17
790,180,48201210600,2021-01-17
791,98,48201210700,2021-01-17
792,93,48201210800,2021-01-17
793,42,48201210900,2021-01-17
794,1088,48201211000,2021-01-17
795,203,48201211100,2021-01-17
796,94,48201211200,2021-01-17
797,119,48201211300,2021-01-17
798,148,48201211400,2021-01-17
799,230,48201211500,2021-01-17
